Entity,Code,Year,all_sizes_number
Albania,ALB,1998,466809
Algeria,DZA,2001,1023799
American Samoa,ASM,2003,7094
Argentina,ARG,1988,378357
Australia,AUS,1990,129540
Austria,AUT,2000,199470
Bahamas,BHS,1994,1760
Barbados,BRB,1989,17178
Belgium,BEL,2000,61710
Brazil,BRA,1996,4838183
Bulgaria,BGR,2003,665500
Burkina Faso,BFA,1993,886638
Canada,CAN,1991,280043
Chile,CHL,1997,316492
China,CHN,1997,193446000
Colombia,COL,2001,2021895
Cook Islands,COK,2000,1721
Cote d'Ivoire,CIV,2001,1117667
Croatia,HRV,2003,449896
Cyprus,CYP,2002,45199
Czechia,CZE,2000,56487
Democratic Republic of Congo,COD,1990,4479600
Denmark,DNK,2000,57830
Djibouti,DJI,1995,1135
Dominica,DMA,1995,9026
Ecuador,ECU,2000,842882
Egypt,EGY,2000,4541884
Estonia,EST,2001,68869
Ethiopia,ETH,2002,10758597
Fiji,FJI,1991,95400
Finland,FIN,2000,81200
France,FRA,2000,663810
French Guiana,GUF,1989,4480
French Polynesia,PYF,1995,6223
Georgia,GEO,2004,729542
Germany,DEU,2000,471960
Greece,GRC,2000,817060
Grenada,GRD,1995,18277
Guadeloupe,GLP,1989,16272
Guam,GUM,2002,153
Guatemala,GTM,2003,830684
Guinea,GIN,1995,442168
Guinea-Bissau,GNB,1988,84221
Honduras,HND,1993,325750
Hungary,HUN,2000,966916
India,IND,2001,119894000
Indonesia,IDN,1993,19713806
Iran,IRN,2003,4332423
Ireland,IRL,2000,141530
Italy,ITA,2000,2590674
Jamaica,JAM,1996,187791
Japan,JPN,1995,3444000
Jordan,JOR,1997,88452
Kyrgyzstan,KGZ,2002,1130855
Laos,LAO,1999,668000
Latvia,LVA,2001,180263
Lebanon,LBN,1998,194829
Lesotho,LSO,1990,229300
Libya,LBY,1987,175528
Lithuania,LTU,2003,278563
Luxembourg,LUX,2000,2810
Malawi,MWI,1993,1561416
Mali,MLI,2005,805194
Malta,MLT,2001,11959
Martinique,MTQ,1989,15460
Morocco,MAR,1996,1496349
Mozambique,MOZ,2000,3037782
Myanmar,MMR,2003,3464769
Namibia,NAM,1997,102357
Nepal,NPL,2002,3364139
Netherlands,NLD,2000,101550
New Zealand,NZL,2002,70000
Nicaragua,NIC,2001,199549
Northern Mariana Islands,MNP,2002,214
Norway,NOR,1999,70740
Pakistan,PAK,2000,6620054
Panama,PAN,2001,236613
Paraguay,PRY,1991,307221
Peru,PER,1994,1756141
Philippines,PHL,2002,4822739
Poland,POL,2002,2933000
Portugal,PRT,1999,415969
Puerto Rico,PRI,2002,17659
Qatar,QAT,2001,3553
Reunion,REU,2000,9387
Romania,ROU,2002,4484893
Saint Kitts and Nevis,KNA,1987,3269
Saint Lucia,LCA,1996,13366
Saint Vincent and the Grenadines,VCT,2000,7380
Samoa,WSM,1999,14734
Senegal,SEN,1999,437037
Serbia,SRB,2002,778891
Slovakia,SVK,2001,71038
Slovenia,SVN,1991,156549
South Korea,KOR,1990,1768501
Spain,ESP,1999,1764456
Sweden,SWE,2000,81410
Switzerland,CHE,1990,108296
Thailand,THA,1993,5647490
Togo,TGO,1996,842124
Trinidad and Tobago,TTO,2004,19111
Turkey,TUR,2001,3076650
Uganda,UGA,1991,1704721
United Kingdom,GBR,2000,233250
United States,USA,2002,2128982
United States Virgin Islands,VIR,2002,191
Uruguay,URY,2000,57131
Venezuela,VEN,1997,500979
Vietnam,VNM,2001,10689753
Yemen,YEM,2002,1180105
Zambia,ZMB,1990,520520
